name,reason,smiles
eribulin,invalid_smiles,"[H][C@@]12CC(=C)[C@]([H])(CC[C@@]3([H])C[C@@H](C)C(=C)[C@@]([H])(C[C@]4([H])O[C@H](C[C@H](O)CN)[C@H](OC)[C@@]4([H])CC(=O)C[C@@]4([H])CC[C@]5([H])O[C@@]6([H])[C@@]7([H])O[C@@]8(C[C@@]7([H])O[C@@]6([H])[C@@]([H])(O8)[C@@]5([H])O4)CC1)O3)O2 |THB:43:44:51.53:48.49.56.58,50:49:44:51.53,50:51:44:48.49.56.58,53:54:46.48.49.58:41.43.59,59:56:44:51.53|"
escitalopram,multi_fragment_structure,"OC(=O)C(O)=O.CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1 |&1:12,r|"
ethanolamine-oleate,qc_incompatible,
etidronic-acid,qc_incompatible,
etidronic-acid,qc_incompatible,
etidronic-acid,qc_incompatible,
etidronic-acid,qc_incompatible,
etidronic-acid,qc_incompatible,
EUK-134,qc_incompatible,
EUK-134,qc_incompatible,
EUK-134,qc_incompatible,
EUK-134,qc_incompatible,
ferroquine,unsupported_docking_elements:Fe,"CN(C)CC1=CC=C[C@@]1(CNc1ccnc2cc(Cl)ccc12)[Fe]C1C=CC=C1 |&1:8,r,c:6,27,29,t:4|"
flurothyl,qc_incompatible,
flurothyl,qc_incompatible,
flurothyl,qc_incompatible,
fluroxene,qc_incompatible,
fluroxene,qc_incompatible,
foscarnet,qc_incompatible,
foscarnet,qc_incompatible,
foscarnet,qc_incompatible,
foscarnet,qc_incompatible,
GABA-linoleamide,qc_incompatible,
gadobutrol,unsupported_docking_elements:Gd,"[H]O[C@@H](CO)[C@H](CO)N1CCN2CCN3CCN(CC1)CC(=O)O[Gd](OC(=O)C3)OC(=O)C2 |&1:2,5|"
gadodiamide,unsupported_docking_elements:Gd,CNC(=O)CN1CCN2CCN(CC(=O)NC)CC(=O)O[Gd](OC(=O)C1)OC(=O)C2
gadodiamide,unsupported_docking_elements:Gd,CNC(=O)CN1CCN2CCN(CC(=O)NC)CC(=O)O[Gd](OC(=O)C1)OC(=O)C2
gadopentetic-acid,unsupported_docking_elements:Gd,OC(=O)CN1CCN2CCN(CC(O)=O)CC(=O)O[Gd](OC(=O)C1)OC(=O)C2
gadoteridol,unsupported_docking_elements:Gd,"C[C@@H](O)CN1CCN2CCN3CCN(CC1)CC(=O)O[Gd](OC(=O)C2)OC(=O)C3 |&1:1,r|"
gadoteridol,qc_incompatible,
gallium-triquinolin-8-olate,qc_incompatible,
glutathione,qc_incompatible,
guanidinoethyldisulfide-bicarbonate,qc_incompatible,
halothane,qc_incompatible,
halothane,qc_incompatible,
hemin,unsupported_docking_elements:Fe,"CC1=C(CCC(O)=O)\C2=C\c3c(CCC(O)=O)c(C)c4\C=C5/N=C(/C=c6/c(C=C)c(C)\c(=C\C1=N2)n6[Fe](O)n34)C(C)=C5C=C |c:1,20,34,45,t:8,22,24,31|"
hemin,unsupported_docking_elements:Fe,"CC1=C(CCC(O)=O)\C2=C\c3c(CCC(O)=O)c(C)c4\C=C5/N=C(/C=c6/c(C=C)c(C)\c(=C\C1=N2)n6[Fe](O)n34)C(C)=C5C=C |c:1,20,34,45,t:8,22,24,31|"
hemin,unsupported_docking_elements:Fe,"CC1=C(CCC(O)=O)\C2=C\c3c(CCC(O)=O)c(C)c4\C=C5/N=C(/C=c6/c(C=C)c(C)\c(=C\C1=N2)n6[Fe](O)n34)C(C)=C5C=C |c:1,20,34,45,t:8,22,24,31|"
homatropine,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](O)c1ccccc1 |a:2,5,7,&1:12,THB:9:7:1:3.4|"
homatropine,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](O)c1ccccc1 |a:2,5,7,&1:12,THB:9:7:1:3.4|"
homatropine,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](O)c1ccccc1 |a:2,5,7,&1:12,THB:9:7:1:3.4|"
homatropine,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](O)c1ccccc1 |a:2,5,7,&1:12,THB:9:7:1:3.4|"
homatropine,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](O)c1ccccc1 |a:2,5,7,&1:12,THB:9:7:1:3.4|"
homatropine-methylbromide,invalid_smiles,"C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](O)c1ccccc1 |a:3,6,8,&1:13,THB:10:8:1:4.5|"
HQK-1001,qc_incompatible,
HQK-1001,qc_incompatible,
hydroxocobalamin,unsupported_docking_elements:Co,"[H]O[Co+]N1\C2=C(C)/C3=N/C(=C/C4=N/C(=C(C)\C5=N[C@@](C)([C@@]1([H])[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)/[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]3CCC(N)=O |r,t:4,7,9,11,13,16|"
ibandronate,qc_incompatible,
ibandronate,qc_incompatible,
ibandronate,qc_incompatible,
ibandronate,qc_incompatible,
ibuprofen-lysine,multi_fragment_structure,"NCCCC[C@H](N)C(O)=O.CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O |a:5,&1:20|"
ibuprofen-lysine,multi_fragment_structure,"NCCCC[C@H](N)C(O)=O.CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O |a:5,&1:20|"
ibuprofen-lysine,multi_fragment_structure,"NCCCC[C@H](N)C(O)=O.CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O |a:5,&1:20|"
ibuprofen-lysine,multi_fragment_structure,"NCCCC[C@H](N)C(O)=O.CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O |a:5,&1:20|"
imisopasem-manganese,unsupported_docking_elements:Mn,[H][C@@]12CCCC[C@@]1([H])N1Cc3cccc(CN4[C@]5([H])CCCC[C@@]5([H])N5CCN2[Mn]145(Cl)Cl)n3
indium-tri(2-propanolate),unsupported_docking_elements:In,CC(C)O[In](OC(C)C)OC(C)C
indium(III)-isopropoxide,qc_incompatible,
ipratropium,invalid_smiles,"CC(C)[N@@+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](CO)c1ccccc1 |a:5,8,10,&1:3,&2:15,TLB:4:3:6.7:9.10.11,THB:1:3:6.7:9.10.11,12:10:3:6.7|"
isobutyramide,qc_incompatible,
isoflurane,qc_incompatible,
isoflurane,qc_incompatible,
isoflurophate,qc_incompatible,
isoflurophate,qc_incompatible,
isoflurophate,qc_incompatible,
isopropyl-myristate,qc_incompatible,
isopropyl-myristate,qc_incompatible,
isopropyl-myristate,qc_incompatible,
isopropyl-palmitate,qc_incompatible,
isopropyl-palmitate,qc_incompatible,
karenitecin,unsupported_docking_elements:Si,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccccc4c(CC[Si](C)(C)C)c3Cn1c2=O
L-alanine,qc_incompatible,
