library_id,name,wt_affinity,mut_affinity,delta_affinity,wt_dist,mut_dist,delta_dist,ghost_clash_dist,ghost_clash,pose_center_shift,selection_reason,wt_output,mut_output,score_version,ghost_warning,ghost_penalty,mutation_composite_score,rank_mutation_aware
LIB100_0003,biapenem,-5.593,-5.321,0.27200000000000024,3.8693569982760305,3.9728169759805128,0.10345997770448223,3.9728169759805128,False,0.11378722487334202,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0003_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0003_mut.pdbqt,mutation_composite_score_v1,none,0.0,0.6687620139982193,32
LIB100_0048,delphinidin,-6.148,-6.324,-0.17600000000000016,1.9140476283938404,1.419559097677287,-0.4944885307165534,1.419559097677287,True,2.1910434917883848,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0048_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0048_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.4699705982531528,33
LIB100_0068,AG-1024,-5.852,-6.861,-1.0089999999999995,3.3042397414690043,1.306494868575018,-1.9977448728939864,1.306494868575018,True,0.9530955921397233,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0068_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0068_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.308441931983908,34
LIB100_0047,YM-511,-6.865,-6.811,0.05400000000000027,3.415380680345906,0.5615060508985213,-2.8538746294473847,0.5615060508985213,True,1.2517905200944273,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0047_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0047_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.16543709825062258,35
LIB100_0100,PLX8394,-7.218,-7.305,-0.08699999999999974,5.437841632589485,1.628165409776341,-3.8096762228131444,1.628165409776341,True,2.5846519052378945,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0100_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0100_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.1255301374735347,36
LIB100_0033,SQ-109,-6.55,-6.832,-0.28200000000000003,3.936467197706195,1.0071548592098536,-2.9293123384963415,1.0071548592098536,True,1.6982331285415246,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0033_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0033_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.0475132019312956,37
LIB100_0020,pralatrexate,-6.415,-6.543,-0.1280000000000001,2.8601341091109607,1.5798049237793867,-1.280329185331574,1.5798049237793867,True,3.2651405917509337,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0020_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0020_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.025241128864933238,38
LIB100_0038,ganetespib,-6.166,-6.839,-0.673,2.269281434138242,0.7421455662695473,-1.5271358678686948,0.7421455662695473,True,3.1089071191587063,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0038_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0038_mut.pdbqt,mutation_composite_score_v1,severe,2.0,-0.012567668825447242,39
LIB100_0066,"4,5,6,7-tetrabromobenzotriazole",-5.02,-4.765,0.2549999999999999,3.6238841680115006,3.6042043436061073,-0.019679824405393287,3.6042043436061073,False,0.016441299417332488,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0066_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0066_mut.pdbqt,mutation_composite_score_v1,none,0.0,-0.020460518212847334,40
LIB100_0085,aloperine,-5.947,-5.55,0.39700000000000024,3.0948494744987363,2.982795537091685,-0.11205393740705105,2.982795537091685,False,0.11238151510940797,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0085_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0085_mut.pdbqt,mutation_composite_score_v1,moderate,0.5,-0.11282934578827508,41
